MRN,DATE_ESTABLISHED,DATE_OF_DEATH,DOB,SEX,DATE_OF_LAST_UPDATE,NATIONALITY,PROVINCE,FILE_ACTIVE,FILE_TEMPORARY,MARITAL_STATUS,NAME,NATIONAL_ID,ARABIC_NAME,PATIENT_TYPE,HOME_PHONE,SENSITIVE
21968531796627,2018-04-08T00:00:00.000+00:00,-,1954-01-24T00:00:00.000+00:00,MALE,2019-01-18T00:00:00.000+00:00,SYR,AL BALQA,ACTIVE,PERMANENT,MARRIED,b'gAAAAABpxOrpOLVUCEs6YkCsoZgzyxrcEi9ftQ7ymeSZ_56zE3kxSVTeQJqEs+UovZd',37709058114414507,b'gAAAAABpxOrvro/6vRA9ErqLrN8Ao_IgdhQ1Cez_J-5aWTJrQhDE/6rHl96tQOkZK0Javb+63ud6/fGeYZiFKr6CoKWnu_RD',,592299272695061,0
14391759658629,2017-10-08T00:00:00.000+00:00,-,1948-06-01T00:00:00.000+00:00,MALE,2017-10-22T00:00:00.000+00:00,JOR,AMMAN,ACTIVE,PERMANENT,MARRIED,b'gAAAAABpxOrpSoi+MF02mgCCFWT-gAw5qmECsq9D5Kd_4=+4lGoAdz_r0EC=_LWkt=MKYdNH5k=fm',79053541908150401,b'gAAAAABpxOr5B/MMcfSLvrSvriRE++aPLgKHixeqtDKu-2JSL+g6r7XksowU5Hq8dQ3cwi-kDVLh/UjcyLCcy+-cxTSx',EARLY DETECTION,795363443993532,0
19786466377132,2010-03-24T00:00:00.000+00:00,-,1960-03-14T00:00:00.000+00:00,FEMALE,2012-02-02T00:00:00.000+00:00,LBN,IRBID,ACTIVE,PERMANENT,WIDOWED,b'gAAAAABpxOrzcFn9x26oSAseZxIT4wb6rM-cNx0D-h8mcDI2U+XnC/9PSi8HSvUL',485441619147108022,b'gAAAAABpxOr/T8PuKatCMRFDoF81lfIQw2YTpnbqF4eBQnUHqRaYZhCl=Idq4E1S_N/7PWH3K8XFrqQZIPsftsvKjpUV',,595376564946421,0
25073551019385,2016-07-13T00:00:00.000+00:00,-,1999-07-02T00:00:00.000+00:00,FEMALE,2016-08-22T00:00:00.000+00:00,PSE,AMMAN,ACTIVE,PERMANENT,DIVORCED,b'gAAAAABpxOr5/CYKOooDbwTBlFiPbALbRjEdzovZzY3qfbK_xR0RY/nbkiSLoUZlOYh2=hbuT',433399465058144418,b'gAAAAABpxOr/nN3qUuT11LcJSeRaCGDy7EklIRP9ZF3Nvq+sEYMSwHvGxrsN6LImqBLqFVEbtBqSyLx_KxE',,583475383382976,0
19497802440183,2015-04-07T00:00:00.000+00:00,-,1964-06-04T00:00:00.000+00:00,FEMALE,2017-12-23T00:00:00.000+00:00,JOR,AMMAN,ACTIVE,PERMANENT,MARRIED,b'gAAAAABpxOruViddt/QYgatGw=q5heGMTk2/fqLBNPZz8tNCMe=gZPrfqKkBUFcts5',721342816418461267,b'gAAAAABpxOrS+CKR83eluYMtiUU/HHfcCvqg=4M/_TscYFR9mNQGgxwS5wUt/2KEvv-BI_SKBmyYPYnK+DUi-OqkK',EARLY DETECTION,592000826234681,0
16999117232327,2014-08-23T00:00:00.000+00:00,-,1999-02-21T00:00:00.000+00:00,FEMALE,2016-04-11T00:00:00.000+00:00,JOR,AL MAFRAQ,ACTIVE,PERMANENT,SINGLE,b'gAAAAABpxOrjmOYjeZ5w0raW4MS5DGwZz+6-pz5BvF9z_1Rk=i=wg4g8bj6=f0rPAfwTJ/P7GKPpTt',501035034350377373,b'gAAAAABpxOrYVglubvdyCqBTmlOzTHNpQES8FtKe/_u=UEu_5hzytUb3Aa50-9X38Zp1omqYZT',,782043289751645,0
22772928219185,2021-12-05T00:00:00.000+00:00,-,1996-01-19T00:00:00.000+00:00,FEMALE,2022-06-07T00:00:00.000+00:00,JOR,AMMAN,ACTIVE,PERMANENT,SINGLE,b'gAAAAABpxOrJ93r3G2Ywh=j=5W-=1y0aJETTN3+hpb7L9oe38uBj/uHg7jESX/CXkBgGB/cy',513399413488045519,b'gAAAAABpxOrpy-y8Res=/3goQ-dw_0n3LN2pZ0Ns-_K1h6iy0NbriCheEyNEoPW8SuRc_4ChVD8vjiPNVzOtHC1hR6K5C7B3AWuur',,786092412682099,0
11970427915833,2013-12-24T00:00:00.000+00:00,-,1950-02-14T00:00:00.000+00:00,MALE,2016-01-26T00:00:00.000+00:00,SYR,JERASH,ACTIVE,PERMANENT,WIDOWED,b'gAAAAABpxOrB6/C9dtugHkG4xLhspCLZPTLOSUbsZ9xmjSeX-gJzEkuv/N7kYdfD',560629824434207594,b'gAAAAABpxOrDsYhCsTGSdAOauojrvaYlzVH32e5cb95MMVBhbv1P39f4qNJAuwwlIhI8xW22pjnOYRlZHYYE9LQP5Q',,591733218148682,0
15809157172656,2011-06-17T00:00:00.000+00:00,-,1978-05-19T00:00:00.000+00:00,FEMALE,2011-11-15T00:00:00.000+00:00,JOR,AMMAN,ACTIVE,PERMANENT,MARRIED,b'gAAAAABpxOr55PHFL18E2RvFkeg8xVHlqDDJkysBwO0RegTtWR86wNjx=UAN+uz12S3XTJRCyymo/Gpjf',586026385575517290,b'gAAAAABpxOrKXJS6POkmUP8WcyW=OY0pq=08mTMDZ0HCknO6dGy+VIifkEI3g927+BAzzfpvgVwjc9F3YFP8bok+OC0pipQ',EARLY DETECTION,591674386682816,0
19305492146691,2017-12-05T00:00:00.000+00:00,-,2008-01-21T00:00:00.000+00:00,FEMALE,2019-07-24T00:00:00.000+00:00,JOR,JERASH,ACTIVE,PERMANENT,WIDOWED,b'gAAAAABpxOrJy/K0Ib6czzYxeqSgMYixwR3T-GmjV/cn17vuA2FcRt5dRs1DAD=',572783369682354368,b'gAAAAABpxOrH9I1WfO3KvfSuOCUxc6x_s-/fQy1T/jO0ce0yzMOT/yZMJARqhXHzLrrD_t9Gi5E8DfT4vxeK75V+Q1Iin',,579486566109094,0
24872175264634,2021-08-26T00:00:00.000+00:00,-,1986-09-19T00:00:00.000+00:00,MALE,2022-05-18T00:00:00.000+00:00,JOR,IRBID,ACTIVE,TEMPORARY,WIDOWED,b'gAAAAABpxOrJZ3e-RETx60Qm=C9diklvVx/74qQKiuJHl/kSWO4L3bdQMRZBQHQt=G1TteeDGnOu',368846732634513740,b'gAAAAABpxOr_xAYIhqiEjd/5C=82+Wmk_F6HgAEqNdsO4TtahiryBddLytzEK3POigz_LyjOAccV1Ij7j+vAP4NHIGLFbw',,597267454016040,0
22725394133697,2018-11-26T00:00:00.000+00:00,-,1943-10-16T00:00:00.000+00:00,FEMALE,2020-03-06T00:00:00.000+00:00,JOR,AJLOUN,ACTIVE,TEMPORARY,SINGLE,b'gAAAAABpxOrjTc/hbvkUBZ96XejnvSJvl9wxZWRUOmqLp-ttnVvx+1siTz-2/1ttVxDrGnK+U',126629674363916817,b'gAAAAABpxOrXqd8ppgwFTj=-kR7FRYttdZRpX4c9B4+c40mY6tctO+wEQJ7iHs2wWRWawtTmOQBCvAg-F+azDrwNMr',,783537279622017,0
11118503637401,2015-07-22T00:00:00.000+00:00,-,1955-08-10T00:00:00.000+00:00,FEMALE,2018-05-16T00:00:00.000+00:00,JOR,KARAK,ACTIVE,PERMANENT,SINGLE,b'gAAAAABpxOroikYOBKFKSoqY6fDVfLeKHMkvIhnNgI2EIEdE2WA2XMdxe_+e+cBZZ-RC',517828104329228080,b'gAAAAABpxOr9zf=6i5h_Ai-3Y-FWCzpEkm6ZcSP+7qeNDT6qcDKYZj_p9MMZ2p6_IBsLNXlTLdxRzJUBumKqp5jFdBBJArwfEy',,789905682174120,0
19776806930550,2011-02-07T00:00:00.000+00:00,-,1974-07-22T00:00:00.000+00:00,FEMALE,2012-04-26T00:00:00.000+00:00,JOR,AMMAN,ACTIVE,PERMANENT,WIDOWED,b'gAAAAABpxOrYY9UVAqvsFRuy7F1WZvnud5XbLNWtnpMqK/wZGWXEXxjKm7_=J4e2',476155860401921745,b'gAAAAABpxOr4pVaHzPSPGGaKaJs-b2T28hgjmJ2rAyBL_pT4R5YgzLdalHD0L5gJco67Fde+8Lc',,563224343343362,1
